iter	Passed	Remaining
0	1	118
1	2	98
2	2	91
3	3	88
4	4	84
5	5	87
6	6	85
7	7	82
8	7	80
9	8	79
10	9	78
11	10	77
12	11	79
13	13	80
14	13	78
15	14	77
16	15	75
17	16	76
18	18	78
19	19	78
20	20	77
21	21	75
22	22	75
23	23	73
24	24	73
25	25	72
26	26	70
27	27	70
28	28	68
29	29	67
30	29	66
31	31	66
32	32	65
33	33	64
34	33	62
35	34	62
36	35	60
37	36	60
38	37	59
39	38	57
40	39	56
41	39	54
42	40	53
43	41	52
44	42	51
45	43	51
46	44	50
47	45	49
48	46	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	36
61	57	35
62	58	34
63	58	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	21
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	11
88	81	10
89	82	9
90	82	8
91	83	7
92	84	6
93	86	5
94	87	4
95	88	3
96	88	2
97	89	1
98	90	0
99	91	0
