iter	Passed	Remaining
0	163	162974
1	165	82577
2	167	55610
3	168	41979
4	170	33860
5	171	28464
6	177	25202
7	180	22427
8	182	20114
9	184	18276
10	187	16899
11	191	15804
12	193	14698
13	195	13741
14	196	12893
15	198	12186
16	199	11553
17	201	10974
18	202	10448
19	203	9989
20	205	9568
21	206	9183
22	210	8953
23	212	8644
24	213	8343
25	215	8062
26	216	7799
27	217	7556
28	219	7333
29	220	7125
30	224	7018
31	226	6837
32	227	6662
33	228	6495
34	229	6338
35	231	6187
36	236	6144
37	239	6075
38	241	5947
39	243	5838
40	244	5718
41	245	5606
42	247	5497
43	248	5394
44	250	5325
45	253	5253
46	254	5169
47	256	5083
48	257	5000
49	259	4923
50	260	4844
51	261	4768
52	262	4695
53	266	4663
54	268	4618
55	270	4555
56	271	4494
57	272	4433
58	274	4373
59	275	4318
60	276	4263
61	278	4208
62	282	4197
63	283	4148
64	285	4100
65	286	4051
66	287	4002
67	288	3956
68	290	3914
69	291	3871
70	292	3828
71	295	3814
72	297	3776
73	298	3736
74	299	3699
75	301	3663
76	302	3627
77	303	3591
78	305	3557
79	306	3523
80	312	3550
81	314	3518
82	314	3479
83	316	3446
84	317	3415
85	318	3385
86	320	3359
87	321	3330
88	322	3301
89	324	3282
90	326	3256
91	327	3228
92	328	3201
93	329	3176
94	330	3151
95	332	3126
96	333	3103
97	334	3080
98	335	3057
99	337	3034
100	339	3020
101	340	3000
102	342	2978
103	343	2956
104	344	2934
105	345	2913
106	363	3030
107	364	3008
108	365	2987
109	366	2967
110	367	2946
111	371	2941
112	372	2922
113	373	2903
114	378	2911
115	380	2897
116	381	2878
117	382	2860
118	383	2842
119	385	2827
120	386	2810
121	387	2791
122	389	2775
123	390	2758
124	392	2745
125	393	2728
126	394	2710
127	395	2696
128	396	2680
129	400	2676
130	401	2662
131	402	2647
132	403	2632
133	405	2618
134	406	2604
135	407	2590
136	409	2576
137	410	2566
138	412	2552
139	415	2552
140	418	2546
141	418	2530
142	420	2517
143	421	2507
144	423	2496
145	424	2485
146	426	2474
147	429	2473
148	431	2464
149	432	2452
150	434	2442
151	435	2431
152	437	2420
153	438	2409
154	440	2399
155	441	2386
156	442	2375
157	445	2375
158	447	2366
159	449	2357
160	450	2346
161	451	2335
162	453	2327
163	454	2318
164	458	2321
165	460	2311
166	461	2301
167	463	2293
168	464	2285
169	466	2276
170	467	2267
171	469	2259
172	472	2257
173	473	2249
174	475	2239
175	476	2230
176	478	2226
177	480	2217
178	481	2209
179	483	2203
180	486	2200
181	488	2196
182	490	2189
183	491	2180
184	492	2171
185	494	2163
186	496	2158
187	497	2150
188	499	2141
189	504	2148
190	507	2148
191	508	2141
192	510	2133
193	511	2125
194	513	2118
195	514	2109
196	516	2105
197	519	2103
198	521	2098
199	522	2091
200	524	2085
201	526	2078
202	528	2073
203	529	2066
204	532	2065
205	534	2058
206	535	2050
207	536	2043
208	538	2038
209	539	2030
210	541	2023
211	542	2015
212	549	2029
213	551	2024
214	552	2016
215	553	2010
216	555	2005
217	556	1997
218	566	2021
219	569	2018
220	571	2014
221	573	2010
222	578	2014
223	580	2010
224	581	2004
225	583	1997
226	585	1992
227	591	2004
228	594	2000
229	595	1993
230	596	1986
231	598	1980
232	600	1976
233	604	1978
234	608	1980
235	610	1974
236	611	1968
237	613	1963
238	614	1957
239	616	1950
240	623	1965
241	625	1960
242	627	1954
243	628	1947
244	630	1942
245	634	1945
246	641	1955
247	642	1949
248	644	1943
249	646	1938
250	648	1935
251	653	1938
252	654	1933
253	656	1929
254	658	1923
255	659	1916
256	661	1912
257	669	1925
258	671	1920
259	672	1913
260	673	1908
261	676	1904
262	683	1915
263	685	1910
264	686	1904
265	688	1899
266	690	1895
267	691	1889
268	697	1895
269	698	1889
270	700	1883
271	701	1877
272	702	1871
273	704	1865
274	708	1868
275	711	1866
276	712	1860
277	714	1854
278	715	1850
279	717	1844
280	719	1839
281	724	1845
282	727	1843
283	728	1837
284	730	1832
285	732	1827
286	733	1822
287	734	1816
288	739	1818
289	740	1812
290	741	1807
291	743	1801
292	744	1795
293	745	1789
294	746	1783
295	747	1777
296	749	1774
297	752	1772
298	754	1768
299	755	1762
300	756	1757
301	758	1753
302	759	1747
303	761	1742
304	763	1739
305	766	1738
306	767	1733
307	769	1728
308	770	1723
309	772	1719
310	773	1713
311	774	1707
312	779	1711
313	781	1707
314	782	1701
315	784	1697
316	785	1691
317	786	1686
318	787	1680
319	788	1675
320	789	1670
321	795	1674
322	797	1670
323	798	1666
324	800	1662
325	801	1656
326	802	1651
327	803	1646
328	804	1641
329	806	1637
330	811	1639
331	812	1634
332	813	1630
333	815	1625
334	816	1620
335	817	1614
336	818	1610
337	819	1604
338	820	1600
339	824	1601
340	826	1598
341	828	1594
342	829	1589
343	832	1587
344	833	1582
345	837	1583
346	839	1579
347	840	1574
348	841	1570
349	842	1565
350	843	1560
351	844	1555
352	846	1550
353	847	1545
354	848	1540
355	849	1536
356	853	1537
357	854	1532
358	855	1528
359	856	1523
360	857	1518
361	859	1513
362	860	1509
363	861	1504
364	862	1500
365	863	1495
366	864	1491
367	868	1491
368	869	1487
369	870	1482
370	871	1477
371	872	1473
372	873	1469
373	875	1464
374	876	1460
375	877	1455
376	878	1451
377	880	1449
378	883	1447
379	884	1442
380	885	1438
381	886	1434
382	888	1431
383	889	1427
384	891	1423
385	892	1419
386	894	1416
387	896	1414
388	898	1411
389	899	1407
390	901	1403
391	903	1400
392	904	1397
393	905	1393
394	914	1400
395	916	1397
396	917	1393
397	918	1389
398	920	1386
399	922	1383
400	926	1383
401	928	1380
402	929	1377
403	934	1378
404	938	1378
405	942	1378
406	943	1375
407	945	1372
408	948	1369
409	949	1366
410	952	1364
411	956	1365
412	959	1364
413	961	1361
414	963	1357
415	965	1354
416	966	1351
417	967	1347
418	973	1349
419	974	1346
420	977	1343
421	979	1340
422	981	1338
423	983	1335
424	987	1335
425	989	1332
426	992	1331
427	1000	1337
428	1002	1334
429	1005	1333
430	1007	1329
431	1016	1336
432	1019	1334
433	1020	1331
434	1023	1328
435	1029	1332
436	1031	1329
437	1034	1326
438	1041	1330
439	1042	1327
440	1047	1327
441	1048	1324
442	1050	1320
443	1057	1324
444	1060	1323
445	1062	1320
446	1064	1316
447	1072	1321
448	1074	1318
449	1076	1315
450	1078	1312
451	1080	1309
452	1087	1313
453	1089	1310
454	1091	1307
455	1093	1304
456	1104	1311
457	1105	1308
458	1107	1305
459	1109	1302
460	1112	1300
461	1116	1299
462	1118	1297
463	1120	1293
464	1121	1290
465	1124	1289
466	1127	1287
467	1129	1284
468	1132	1282
469	1141	1287
470	1144	1285
471	1147	1283
472	1149	1280
473	1156	1282
474	1159	1281
475	1164	1281
476	1165	1278
477	1170	1277
478	1174	1277
479	1175	1273
480	1176	1269
481	1178	1266
482	1179	1262
483	1180	1258
484	1186	1260
485	1187	1256
486	1189	1252
487	1190	1248
488	1191	1244
489	1192	1240
490	1193	1237
491	1194	1233
492	1195	1229
493	1199	1228
494	1201	1226
495	1203	1222
496	1204	1219
497	1205	1215
498	1206	1211
499	1209	1209
500	1210	1205
501	1211	1201
502	1215	1201
503	1216	1197
504	1218	1194
505	1219	1190
506	1220	1187
507	1221	1183
508	1222	1179
509	1223	1175
510	1229	1176
511	1231	1173
512	1232	1170
513	1234	1167
514	1235	1163
515	1236	1159
516	1237	1156
517	1239	1153
518	1244	1153
519	1246	1150
520	1247	1147
521	1249	1144
522	1250	1140
523	1252	1137
524	1253	1134
525	1256	1132
526	1258	1129
527	1259	1125
528	1260	1122
529	1261	1118
530	1262	1115
531	1264	1112
532	1265	1108
533	1266	1105
534	1268	1102
535	1269	1098
536	1272	1096
537	1273	1093
538	1274	1090
539	1276	1087
540	1277	1083
541	1278	1080
542	1279	1076
543	1280	1073
544	1282	1070
545	1284	1068
546	1286	1065
547	1287	1062
548	1288	1058
549	1290	1055
550	1291	1052
551	1293	1049
552	1294	1046
553	1295	1042
554	1296	1039
555	1299	1037
